Matchday,Date,Team 1,FT,HT,Team 2
28,Sat Apr 6 2013,Hamburger SV,0-1,0-0,SC Freiburg
28,Sat Apr 6 2013,Bayer 04 Leverkusen,1-1,1-0,VfL Wolfsburg
28,Sat Apr 6 2013,Bor. Mönchengladbach,1-0,0-0,Greuther Fürth
28,Sat Apr 6 2013,Werder Bremen,0-2,0-0,FC Schalke 04
28,Sun Apr 7 2013,Hannover 96,0-0,0-0,VfB Stuttgart
28,Sun Apr 7 2013,1. FC Nürnberg,2-1,0-0,1. FSV Mainz 05
29,Fri Apr 12 2013,SC Freiburg,3-1,2-1,Hannover 96
29,Sat Apr 13 2013,Bayern München,4-0,3-0,1. FC Nürnberg
29,Sat Apr 13 2013,Fortuna Düsseldorf,2-2,1-1,Werder Bremen
29,Sat Apr 13 2013,Greuther Fürth,1-6,0-5,Borussia Dortmund
29,Sat Apr 13 2013,1. FSV Mainz 05,1-2,0-0,Hamburger SV
29,Sat Apr 13 2013,FC Schalke 04,2-2,0-1,Bayer 04 Leverkusen
29,Sat Apr 13 2013,VfL Wolfsburg,2-2,1-1,TSG 1899 Hoffenheim
29,Sun Apr 14 2013,FC Augsburg,2-0,1-0,Eintracht Frankfurt
29,Sun Apr 14 2013,VfB Stuttgart,2-0,2-0,Bor. Mönchengladbach
30,Fri Apr 19 2013,Bor. Mönchengladbach,1-0,1-0,FC Augsburg
30,Sat Apr 20 2013,Borussia Dortmund,2-0,1-0,1. FSV Mainz 05
30,Sat Apr 20 2013,Eintracht Frankfurt,1-0,1-0,FC Schalke 04
30,Sat Apr 20 2013,Hamburger SV,2-1,2-1,Fortuna Düsseldorf
30,Sat Apr 20 2013,Hannover 96,1-6,0-3,Bayern München
30,Sat Apr 20 2013,Bayer 04 Leverkusen,5-0,2-0,TSG 1899 Hoffenheim
30,Sat Apr 20 2013,Werder Bremen,0-3,0-2,VfL Wolfsburg
30,Sun Apr 21 2013,1. FC Nürnberg,0-1,0-1,Greuther Fürth
30,Sun Apr 21 2013,VfB Stuttgart,2-1,2-0,SC Freiburg
31,Fri Apr 26 2013,Greuther Fürth,2-3,1-1,Hannover 96
31,Sat Apr 27 2013,FC Augsburg,3-0,0-0,VfB Stuttgart
31,Sat Apr 27 2013,Bayern München,1-0,1-0,SC Freiburg
31,Sat Apr 27 2013,Fortuna Düsseldorf,1-2,0-1,Borussia Dortmund
31,Sat Apr 27 2013,TSG 1899 Hoffenheim,2-1,2-0,1. FC Nürnberg
31,Sat Apr 27 2013,Bayer 04 Leverkusen,1-0,1-0,Werder Bremen
31,Sat Apr 27 2013,VfL Wolfsburg,3-1,1-0,Bor. Mönchengladbach
31,Sun Apr 28 2013,1. FSV Mainz 05,0-0,0-0,Eintracht Frankfurt
31,Sun Apr 28 2013,FC Schalke 04,4-1,2-1,Hamburger SV
32,Fri May 3 2013,Bor. Mönchengladbach,0-1,0-0,FC Schalke 04
32,Sat May 4 2013,Borussia Dortmund,1-1,1-1,Bayern München
32,Sat May 4 2013,Eintracht Frankfurt,3-1,1-0,Fortuna Düsseldorf
32,Sat May 4 2013,Hannover 96,2-2,1-1,1. FSV Mainz 05
32,Sat May 4 2013,1. FC Nürnberg,0-2,0-1,Bayer 04 Leverkusen
32,Sat May 4 2013,VfB Stuttgart,0-2,0-0,Greuther Fürth
32,Sat May 4 2013,Werder Bremen,2-2,2-0,TSG 1899 Hoffenheim
32,Sun May 5 2013,SC Freiburg,2-0,1-0,FC Augsburg
32,Sun May 5 2013,Hamburger SV,1-1,1-0,VfL Wolfsburg
33,Sat May 11 2013,Bayern München,3-0,0-0,FC Augsburg
33,Sat May 11 2013,Fortuna Düsseldorf,1-2,1-0,1. FC Nürnberg
33,Sat May 11 2013,Greuther Fürth,1-2,1-0,SC Freiburg
33,Sat May 11 2013,TSG 1899 Hoffenheim,1-4,0-2,Hamburger SV
33,Sat May 11 2013,Bayer 04 Leverkusen,3-1,2-0,Hannover 96
33,Sat May 11 2013,1. FSV Mainz 05,2-4,1-1,Bor. Mönchengladbach
33,Sat May 11 2013,FC Schalke 04,1-2,0-1,VfB Stuttgart
33,Sat May 11 2013,Werder Bremen,1-1,1-0,Eintracht Frankfurt
33,Sat May 11 2013,VfL Wolfsburg,3-3,3-1,Borussia Dortmund
34,Sat May 18 2013,FC Augsburg,3-1,1-0,Greuther Fürth
34,Sat May 18 2013,Borussia Dortmund,1-2,1-0,TSG 1899 Hoffenheim
34,Sat May 18 2013,Eintracht Frankfurt,2-2,1-2,VfL Wolfsburg
34,Sat May 18 2013,SC Freiburg,1-2,0-1,FC Schalke 04
34,Sat May 18 2013,Hamburger SV,0-1,0-0,Bayer 04 Leverkusen
34,Sat May 18 2013,Hannover 96,3-0,1-0,Fortuna Düsseldorf
34,Sat May 18 2013,Bor. Mönchengladbach,3-4,3-2,Bayern München
34,Sat May 18 2013,1. FC Nürnberg,3-2,0-1,Werder Bremen
34,Sat May 18 2013,VfB Stuttgart,2-2,2-2,1. FSV Mainz 05
