Matchday,Date,Team 1,FT,HT,Team 2
4,Sat Sep 4 1976,Borussia Dortmund,0-0,0-0,Bor. Mönchengladbach
4,Sat Sep 4 1976,Rot-Weiss Essen,1-2,1-1,Hamburger SV
5,Fri Sep 10 1976,MSV Duisburg,0-0,0-0,Borussia Dortmund
5,Fri Sep 10 1976,Bayern München,9-0,4-0,Tennis Borussia Berlin
5,Sat Sep 11 1976,Bor. Mönchengladbach,3-1,2-0,Werder Bremen
5,Sat Sep 11 1976,Karlsruher SC,1-1,0-0,1. FC Kaiserslautern
5,Sat Sep 11 1976,1. FC Saarbrücken,2-1,0-0,Rot-Weiss Essen
5,Sat Sep 11 1976,Hertha BSC,2-0,1-0,VfL Bochum
5,Sat Sep 11 1976,FC Schalke 04,2-1,1-1,Fortuna Düsseldorf
5,Sat Sep 11 1976,1. FC Köln,3-0,0-0,Eintracht Braunschweig
5,Sat Sep 11 1976,Hamburger SV,3-1,0-0,Eintracht Frankfurt
6,Fri Sep 17 1976,Borussia Dortmund,2-1,1-0,Hertha BSC
6,Fri Sep 17 1976,Werder Bremen,2-2,1-1,MSV Duisburg
6,Sat Sep 18 1976,Fortuna Düsseldorf,2-0,0-0,Hamburger SV
6,Sat Sep 18 1976,Rot-Weiss Essen,3-2,0-0,Karlsruher SC
6,Sat Sep 18 1976,1. FC Kaiserslautern,1-2,1-0,Bor. Mönchengladbach
6,Sat Sep 18 1976,VfL Bochum,5-6,3-0,Bayern München
6,Sat Sep 18 1976,Eintracht Braunschweig,1-0,0-0,FC Schalke 04
6,Sat Sep 18 1976,Tennis Borussia Berlin,3-2,2-0,1. FC Köln
6,Sat Sep 18 1976,Eintracht Frankfurt,2-1,2-1,1. FC Saarbrücken
7,Tue Sep 21 1976,Hertha BSC,2-1,1-0,Werder Bremen
7,Fri Sep 24 1976,Hamburger SV,0-2,0-0,Eintracht Braunschweig
7,Fri Sep 24 1976,Bor. Mönchengladbach,6-0,3-0,Rot-Weiss Essen
7,Fri Sep 24 1976,MSV Duisburg,1-0,0-0,1. FC Kaiserslautern
7,Sat Sep 25 1976,1. FC Saarbrücken,0-0,0-0,Fortuna Düsseldorf
7,Sat Sep 25 1976,FC Schalke 04,5-4,3-1,Tennis Borussia Berlin
7,Sat Sep 25 1976,VfL Bochum,2-1,2-0,Borussia Dortmund
7,Sat Sep 25 1976,Karlsruher SC,2-0,1-0,Eintracht Frankfurt
7,Sat Sep 25 1976,Bayern München,4-1,2-0,1. FC Köln
8,Fri Oct 1 1976,Werder Bremen,2-0,1-0,VfL Bochum
8,Fri Oct 1 1976,1. FC Kaiserslautern,0-2,0-1,Hertha BSC
8,Sat Oct 2 1976,Eintracht Frankfurt,1-3,1-2,Bor. Mönchengladbach
8,Sat Oct 2 1976,Rot-Weiss Essen,1-5,0-0,MSV Duisburg
8,Sat Oct 2 1976,Fortuna Düsseldorf,3-0,0-0,Karlsruher SC
8,Sat Oct 2 1976,Borussia Dortmund,3-3,0-1,Bayern München
8,Sat Oct 2 1976,1. FC Köln,2-0,0-0,FC Schalke 04
8,Sat Oct 2 1976,Tennis Borussia Berlin,1-1,0-0,Hamburger SV
8,Sat Oct 2 1976,Eintracht Braunschweig,1-0,0-0,1. FC Saarbrücken
2,Tue Oct 5 1976,VfL Bochum,1-0,1-0,Karlsruher SC
9,Fri Oct 8 1976,Borussia Dortmund,2-4,2-2,Werder Bremen
9,Sat Oct 9 1976,MSV Duisburg,4-3,2-1,Eintracht Frankfurt
9,Sat Oct 9 1976,1. FC Saarbrücken,0-0,0-0,Tennis Borussia Berlin
9,Sat Oct 9 1976,Hamburger SV,2-1,1-0,1. FC Köln
9,Sat Oct 9 1976,Karlsruher SC,1-1,1-0,Eintracht Braunschweig
9,Sat Oct 9 1976,VfL Bochum,1-0,1-0,1. FC Kaiserslautern
9,Sat Oct 9 1976,Hertha BSC,2-1,0-0,Rot-Weiss Essen
9,Sat Oct 9 1976,Bayern München,0-7,0-2,FC Schalke 04
9,Sat Oct 9 1976,Bor. Mönchengladbach,3-1,1-1,Fortuna Düsseldorf
10,Sat Oct 23 1976,Fortuna Düsseldorf,2-0,0-0,MSV Duisburg
10,Sat Oct 23 1976,Rot-Weiss Essen,3-3,1-2,VfL Bochum
10,Sat Oct 23 1976,1. FC Kaiserslautern,2-1,1-0,Borussia Dortmund
10,Sat Oct 23 1976,Werder Bremen,2-3,1-1,Bayern München
10,Sat Oct 23 1976,FC Schalke 04,1-0,0-0,Hamburger SV
10,Sat Oct 23 1976,1. FC Köln,5-1,1-0,1. FC Saarbrücken
10,Sat Oct 23 1976,Tennis Borussia Berlin,4-2,3-0,Karlsruher SC
10,Sat Oct 23 1976,Eintracht Braunschweig,1-1,0-0,Bor. Mönchengladbach
10,Sat Oct 23 1976,Eintracht Frankfurt,3-3,1-2,Hertha BSC
11,Fri Oct 29 1976,Bor. Mönchengladbach,3-0,1-0,Tennis Borussia Berlin
11,Fri Oct 29 1976,Borussia Dortmund,4-2,1-1,Rot-Weiss Essen
11,Fri Oct 29 1976,Werder Bremen,2-0,0-0,1. FC Kaiserslautern
11,Sat Oct 30 1976,1. FC Saarbrücken,2-3,2-1,FC Schalke 04
11,Sat Oct 30 1976,Karlsruher SC,2-1,0-1,1. FC Köln
11,Sat Oct 30 1976,MSV Duisburg,1-1,1-0,Eintracht Braunschweig
11,Sat Oct 30 1976,Bayern München,6-2,1-1,Hamburger SV
11,Sat Oct 30 1976,Hertha BSC,4-0,1-0,Fortuna Düsseldorf
11,Sat Oct 30 1976,VfL Bochum,3-1,1-0,Eintracht Frankfurt
12,Sat Nov 6 1976,Fortuna Düsseldorf,1-0,1-0,VfL Bochum
12,Sat Nov 6 1976,Rot-Weiss Essen,0-0,0-0,Werder Bremen
12,Sat Nov 6 1976,1. FC Kaiserslautern,1-1,0-1,Bayern München
12,Sat Nov 6 1976,Hamburger SV,0-0,0-0,1. FC Saarbrücken
12,Sat Nov 6 1976,Eintracht Braunschweig,2-2,1-1,Hertha BSC
12,Sat Nov 6 1976,1. FC Köln,0-3,0-1,Bor. Mönchengladbach
12,Sat Nov 6 1976,Tennis Borussia Berlin,1-5,0-4,MSV Duisburg
12,Sat Nov 6 1976,Eintracht Frankfurt,1-4,1-1,Borussia Dortmund
12,Sat Nov 6 1976,FC Schalke 04,2-2,1-0,Karlsruher SC
13,Fri Nov 12 1976,Borussia Dortmund,1-2,0-1,Fortuna Düsseldorf
13,Sat Nov 13 1976,Bor. Mönchengladbach,2-0,1-0,FC Schalke 04
13,Sat Nov 13 1976,Karlsruher SC,2-2,0-0,Hamburger SV
13,Sat Nov 13 1976,1. FC Kaiserslautern,7-1,1-1,Rot-Weiss Essen
13,Sat Nov 13 1976,Werder Bremen,2-1,1-1,Eintracht Frankfurt
13,Sat Nov 13 1976,VfL Bochum,1-1,0-1,Eintracht Braunschweig
13,Sat Nov 13 1976,Hertha BSC,2-0,0-0,Tennis Borussia Berlin
13,Sat Nov 13 1976,MSV Duisburg,1-1,1-1,1. FC Köln
13,Sat Nov 13 1976,Bayern München,5-1,1-1,1. FC Saarbrücken
14,Sat Nov 20 1976,Fortuna Düsseldorf,3-2,2-0,Werder Bremen
14,Sat Nov 20 1976,Rot-Weiss Essen,1-4,0-1,Bayern München
14,Sat Nov 20 1976,1. FC Saarbrücken,1-1,1-0,Karlsruher SC
14,Sat Nov 20 1976,FC Schalke 04,3-2,2-0,MSV Duisburg
14,Sat Nov 20 1976,Hamburger SV,4-1,1-0,Bor. Mönchengladbach
14,Sat Nov 20 1976,1. FC Köln,3-2,2-1,Hertha BSC
14,Sat Nov 20 1976,Tennis Borussia Berlin,1-1,0-1,VfL Bochum
14,Sat Nov 20 1976,Eintracht Braunschweig,3-1,1-1,Borussia Dortmund
14,Sat Nov 20 1976,Eintracht Frankfurt,2-0,1-0,1. FC Kaiserslautern
15,Sat Nov 27 1976,Bor. Mönchengladbach,3-0,1-0,1. FC Saarbrücken
15,Sat Nov 27 1976,Karlsruher SC,1-2,0-1,Bayern München
15,Sat Nov 27 1976,1. FC Kaiserslautern,0-2,0-0,Fortuna Düsseldorf
15,Sat Nov 27 1976,Werder Bremen,2-2,2-0,Eintracht Braunschweig
15,Sat Nov 27 1976,Borussia Dortmund,4-0,2-0,Tennis Borussia Berlin
15,Sat Nov 27 1976,VfL Bochum,1-2,1-0,1. FC Köln
15,Sat Nov 27 1976,Hertha BSC,2-1,0-1,FC Schalke 04
15,Sat Nov 27 1976,Eintracht Frankfurt,3-1,2-0,Rot-Weiss Essen
15,Sat Nov 27 1976,MSV Duisburg,0-0,0-0,Hamburger SV
16,Fri Dec 3 1976,1. FC Köln,1-1,0-0,Borussia Dortmund
16,Sat Dec 4 1976,Hamburger SV,2-0,1-0,Hertha BSC
16,Sat Dec 4 1976,Karlsruher SC,4-0,3-0,Bor. Mönchengladbach
16,Sat Dec 4 1976,Fortuna Düsseldorf,4-4,3-2,Rot-Weiss Essen
16,Sat Dec 4 1976,FC Schalke 04,3-1,1-0,VfL Bochum
16,Sat Dec 4 1976,Bayern München,0-3,0-1,Eintracht Frankfurt
16,Sat Dec 4 1976,Tennis Borussia Berlin,2-4,2-1,Werder Bremen
16,Sat Dec 4 1976,Eintracht Braunschweig,2-1,1-1,1. FC Kaiserslautern
17,Fri Dec 10 1976,VfL Bochum,4-2,3-1,Hamburger SV
17,Fri Dec 10 1976,MSV Duisburg,3-1,1-0,Karlsruher SC
17,Sat Dec 11 1976,1. FC Kaiserslautern,3-1,1-1,Tennis Borussia Berlin
17,Sat Dec 11 1976,Bor. Mönchengladbach,1-0,0-0,Bayern München
17,Sat Dec 11 1976,Hertha BSC,1-1,0-0,1. FC Saarbrücken
17,Sat Dec 11 1976,Werder Bremen,2-1,0-1,1. FC Köln
17,Sat Dec 11 1976,Borussia Dortmund,2-2,1-2,FC Schalke 04
17,Sat Dec 11 1976,Rot-Weiss Essen,2-1,2-0,Eintracht Braunschweig
17,Sat Dec 11 1976,Eintracht Frankfurt,1-1,1-1,Fortuna Düsseldorf
16,Wed Dec 15 1976,1. FC Saarbrücken,1-0,0-0,MSV Duisburg
18,Sat Jan 15 1977,Fortuna Düsseldorf,0-0,0-0,Bayern München
18,Sat Jan 15 1977,VfL Bochum,1-2,1-2,1. FC Saarbrücken
18,Sat Jan 15 1977,Borussia Dortmund,4-4,2-3,Hamburger SV
18,Sat Jan 15 1977,Werder Bremen,1-1,1-1,FC Schalke 04
18,Sat Jan 15 1977,1. FC Kaiserslautern,4-2,0-2,1. FC Köln
18,Sat Jan 15 1977,Rot-Weiss Essen,1-0,0-0,Tennis Borussia Berlin
18,Sat Jan 15 1977,MSV Duisburg,3-2,1-1,Bor. Mönchengladbach
19,Sat Jan 22 1977,Karlsruher SC,2-1,1-1,VfL Bochum
19,Sat Jan 22 1977,Bor. Mönchengladbach,2-1,2-0,Hertha BSC
19,Sat Jan 22 1977,FC Schalke 04,5-2,3-1,1. FC Kaiserslautern
19,Sat Jan 22 1977,1. FC Köln,2-2,1-2,Rot-Weiss Essen
19,Sat Jan 22 1977,Hamburger SV,5-3,1-1,Werder Bremen
19,Sat Jan 22 1977,Bayern München,2-2,1-2,MSV Duisburg
20,Sat Jan 29 1977,Eintracht Frankfurt,4-0,1-0,1. FC Köln
20,Sat Jan 29 1977,Werder Bremen,1-0,1-0,1. FC Saarbrücken
20,Sat Jan 29 1977,Fortuna Düsseldorf,0-0,0-0,Tennis Borussia Berlin
20,Sat Jan 29 1977,Hertha BSC,2-4,0-2,MSV Duisburg
20,Sat Jan 29 1977,VfL Bochum,0-0,0-0,Bor. Mönchengladbach
20,Sat Jan 29 1977,Eintracht Braunschweig,1-0,0-0,Bayern München
20,Sat Jan 29 1977,1. FC Kaiserslautern,2-0,0-0,Hamburger SV
20,Sat Jan 29 1977,Borussia Dortmund,7-2,4-1,Karlsruher SC
18,Tue Feb 1 1977,Hertha BSC,1-1,1-1,Karlsruher SC
21,Sat Feb 5 1977,1. FC Köln,2-2,2-1,Fortuna Düsseldorf
21,Sat Feb 5 1977,Karlsruher SC,3-1,1-0,Werder Bremen
21,Sat Feb 5 1977,Bayern München,1-0,0-0,Hertha BSC
21,Sat Feb 5 1977,1. FC Saarbrücken,2-2,0-1,1. FC Kaiserslautern
21,Sat Feb 5 1977,Hamburger SV,5-3,3-2,Rot-Weiss Essen
21,Sat Feb 5 1977,FC Schalke 04,1-1,0-1,Eintracht Frankfurt
21,Sat Feb 5 1977,MSV Duisburg,0-0,0-0,VfL Bochum
21,Sat Feb 5 1977,Tennis Borussia Berlin,0-0,0-0,Eintracht Braunschweig
22,Sat Feb 12 1977,Fortuna Düsseldorf,1-2,0-1,FC Schalke 04
22,Sat Feb 12 1977,Eintracht Frankfurt,2-1,0-1,Hamburger SV
22,Sat Feb 12 1977,Werder Bremen,1-0,0-0,Bor. Mönchengladbach
22,Sat Feb 12 1977,1. FC Kaiserslautern,3-1,1-1,Karlsruher SC
22,Sat Feb 12 1977,Eintracht Braunschweig,4-2,1-1,1. FC Köln
22,Sat Feb 12 1977,Rot-Weiss Essen,1-0,1-0,1. FC Saarbrücken
22,Sat Feb 12 1977,Tennis Borussia Berlin,3-1,1-0,Bayern München
22,Sat Feb 12 1977,Borussia Dortmund,2-1,2-0,MSV Duisburg
22,Sat Feb 12 1977,VfL Bochum,4-2,3-1,Hertha BSC
19,Wed Feb 16 1977,1. FC Saarbrücken,2-2,1-1,Borussia Dortmund
19,Fri Feb 18 1977,Eintracht Braunschweig,0-0,0-0,Fortuna Düsseldorf
23,Sat Feb 26 1977,Bayern München,1-1,1-1,VfL Bochum
23,Sat Feb 26 1977,Hamburger SV,1-1,1-0,Fortuna Düsseldorf
23,Sat Feb 26 1977,1. FC Köln,8-4,4-2,Tennis Borussia Berlin
23,Sat Feb 26 1977,1. FC Saarbrücken,2-2,0-2,Eintracht Frankfurt
23,Sat Feb 26 1977,FC Schalke 04,2-3,0-1,Eintracht Braunschweig
23,Sat Feb 26 1977,MSV Duisburg,3-0,2-0,Werder Bremen
23,Sat Feb 26 1977,Karlsruher SC,1-1,1-0,Rot-Weiss Essen
23,Sat Feb 26 1977,Bor. Mönchengladbach,0-0,0-0,1. FC Kaiserslautern
23,Sat Feb 26 1977,Hertha BSC,3-2,2-1,Borussia Dortmund
18,Tue Mar 1 1977,Eintracht Frankfurt,3-0,2-0,Eintracht Braunschweig
20,Tue Mar 1 1977,Rot-Weiss Essen,2-2,1-2,FC Schalke 04
24,Sat Mar 5 1977,Borussia Dortmund,0-2,0-1,VfL Bochum
24,Sat Mar 5 1977,Fortuna Düsseldorf,5-1,2-0,1. FC Saarbrücken
24,Sat Mar 5 1977,Rot-Weiss Essen,1-0,0-0,Bor. Mönchengladbach
24,Sat Mar 5 1977,Werder Bremen,1-0,1-0,Hertha BSC
24,Sat Mar 5 1977,1. FC Köln,3-0,2-0,Bayern München
24,Sat Mar 5 1977,Eintracht Braunschweig,0-1,0-1,Hamburger SV
24,Sat Mar 5 1977,Tennis Borussia Berlin,1-3,1-2,FC Schalke 04
24,Sat Mar 5 1977,Eintracht Frankfurt,3-2,1-1,Karlsruher SC
24,Sat Mar 5 1977,1. FC Kaiserslautern,2-0,0-0,MSV Duisburg
25,Sat Mar 12 1977,Bayern München,1-2,1-1,Borussia Dortmund
25,Sat Mar 12 1977,1. FC Saarbrücken,1-2,0-1,Eintracht Braunschweig
25,Sat Mar 12 1977,VfL Bochum,0-2,0-1,Werder Bremen
25,Sat Mar 12 1977,Hertha BSC,2-0,2-0,1. FC Kaiserslautern
25,Sat Mar 12 1977,MSV Duisburg,4-0,1-0,Rot-Weiss Essen
25,Sat Mar 12 1977,Hamburger SV,2-1,0-0,Tennis Borussia Berlin
25,Sat Mar 12 1977,Bor. Mönchengladbach,1-3,0-1,Eintracht Frankfurt
25,Sat Mar 12 1977,FC Schalke 04,1-1,1-1,1. FC Köln
25,Sat Mar 12 1977,Karlsruher SC,1-1,0-1,Fortuna Düsseldorf
19,Tue Mar 15 1977,Tennis Borussia Berlin,1-1,0-0,Eintracht Frankfurt
26,Fri Mar 18 1977,1. FC Kaiserslautern,2-0,0-0,VfL Bochum
26,Fri Mar 18 1977,Werder Bremen,3-0,1-0,Borussia Dortmund
26,Sat Mar 19 1977,Fortuna Düsseldorf,0-1,0-0,Bor. Mönchengladbach
26,Sat Mar 19 1977,Eintracht Braunschweig,3-3,1-0,Karlsruher SC
26,Sat Mar 19 1977,Tennis Borussia Berlin,1-1,0-0,1. FC Saarbrücken
26,Sat Mar 19 1977,1. FC Köln,3-3,3-0,Hamburger SV
26,Sat Mar 19 1977,Eintracht Frankfurt,3-1,1-1,MSV Duisburg
26,Sat Mar 19 1977,Rot-Weiss Essen,2-2,1-1,Hertha BSC
26,Sat Mar 19 1977,FC Schalke 04,0-0,0-0,Bayern München
27,Sat Mar 26 1977,Hertha BSC,2-3,2-0,Eintracht Frankfurt
27,Sat Mar 26 1977,MSV Duisburg,1-0,1-0,Fortuna Düsseldorf
27,Sat Mar 26 1977,VfL Bochum,2-1,0-0,Rot-Weiss Essen
27,Sat Mar 26 1977,Borussia Dortmund,5-2,0-1,1. FC Kaiserslautern
27,Sat Mar 26 1977,Bayern München,1-0,0-0,Werder Bremen
27,Sat Mar 26 1977,Hamburger SV,2-2,0-0,FC Schalke 04
27,Sat Mar 26 1977,1. FC Saarbrücken,3-1,1-1,1. FC Köln
27,Sat Mar 26 1977,Karlsruher SC,4-1,3-0,Tennis Borussia Berlin
27,Sat Mar 26 1977,Bor. Mönchengladbach,1-1,1-0,Eintracht Braunschweig
21,Wed Mar 30 1977,Bor. Mönchengladbach,1-1,0-0,Borussia Dortmund
28,Fri Apr 1 1977,1. FC Kaiserslautern,4-2,0-1,Werder Bremen
28,Fri Apr 1 1977,1. FC Köln,4-1,3-0,Karlsruher SC
28,Fri Apr 1 1977,Hamburger SV,5-0,2-0,Bayern München
28,Sat Apr 2 1977,Rot-Weiss Essen,1-5,0-2,Borussia Dortmund
28,Sat Apr 2 1977,Tennis Borussia Berlin,0-1,0-0,Bor. Mönchengladbach
28,Sat Apr 2 1977,Eintracht Frankfurt,2-2,2-1,VfL Bochum
28,Sat Apr 2 1977,FC Schalke 04,0-1,0-0,1. FC Saarbrücken
28,Sat Apr 2 1977,Eintracht Braunschweig,1-1,1-1,MSV Duisburg
28,Sat Apr 2 1977,Fortuna Düsseldorf,2-3,1-1,Hertha BSC
29,Thu Apr 7 1977,Bayern München,3-0,2-0,1. FC Kaiserslautern
29,Thu Apr 7 1977,MSV Duisburg,1-1,0-0,Tennis Borussia Berlin
29,Sat Apr 9 1977,Karlsruher SC,1-7,0-3,FC Schalke 04
29,Tue Apr 12 1977,Werder Bremen,3-1,1-1,Rot-Weiss Essen
29,Tue Apr 12 1977,VfL Bochum,1-2,1-0,Fortuna Düsseldorf
29,Tue Apr 12 1977,1. FC Saarbrücken,3-2,1-2,Hamburger SV
29,Tue Apr 12 1977,Bor. Mönchengladbach,3-1,0-0,1. FC Köln
29,Tue Apr 12 1977,Borussia Dortmund,2-2,1-1,Eintracht Frankfurt
29,Tue Apr 12 1977,Hertha BSC,2-1,2-1,Eintracht Braunschweig
30,Fri Apr 15 1977,Rot-Weiss Essen,3-2,1-2,1. FC Kaiserslautern
30,Fri Apr 15 1977,Fortuna Düsseldorf,3-2,1-1,Borussia Dortmund
30,Sat Apr 16 1977,Eintracht Frankfurt,7-1,2-1,Werder Bremen
30,Sat Apr 16 1977,Hamburger SV,2-1,1-1,Karlsruher SC
30,Sat Apr 16 1977,FC Schalke 04,1-0,1-0,Bor. Mönchengladbach
30,Sat Apr 16 1977,Eintracht Braunschweig,2-0,1-0,VfL Bochum
30,Sat Apr 16 1977,Tennis Borussia Berlin,2-0,0-0,Hertha BSC
30,Sat Apr 16 1977,1. FC Köln,5-2,3-1,MSV Duisburg
30,Sat Apr 16 1977,1. FC Saarbrücken,6-1,2-0,Bayern München
31,Fri Apr 22 1977,Werder Bremen,0-2,0-0,Fortuna Düsseldorf
31,Fri Apr 22 1977,1. FC Kaiserslautern,2-2,2-1,Eintracht Frankfurt
31,Fri Apr 22 1977,VfL Bochum,2-1,0-0,Tennis Borussia Berlin
31,Sat Apr 23 1977,Karlsruher SC,3-0,2-0,1. FC Saarbrücken
31,Sat Apr 23 1977,Bayern München,5-1,1-0,Rot-Weiss Essen
31,Sat Apr 23 1977,MSV Duisburg,2-2,1-1,FC Schalke 04
31,Sat Apr 23 1977,Hertha BSC,2-4,1-1,1. FC Köln
31,Sat Apr 23 1977,Borussia Dortmund,0-0,0-0,Eintracht Braunschweig
31,Sat Apr 23 1977,Bor. Mönchengladbach,0-0,0-0,Hamburger SV
32,Fri May 6 1977,Hamburger SV,2-0,1-0,MSV Duisburg
32,Fri May 6 1977,1. FC Köln,6-1,5-0,VfL Bochum
32,Sat May 7 1977,1. FC Saarbrücken,2-2,0-1,Bor. Mönchengladbach
32,Sat May 7 1977,Bayern München,5-0,2-0,Karlsruher SC
32,Sat May 7 1977,Fortuna Düsseldorf,2-3,0-1,1. FC Kaiserslautern
32,Sat May 7 1977,Eintracht Braunschweig,0-1,0-0,Werder Bremen
32,Sat May 7 1977,Tennis Borussia Berlin,2-3,2-2,Borussia Dortmund
32,Sat May 7 1977,FC Schalke 04,4-0,2-0,Hertha BSC
32,Sat May 7 1977,Rot-Weiss Essen,1-8,0-5,Eintracht Frankfurt
33,Fri May 13 1977,Borussia Dortmund,1-2,1-0,1. FC Köln
33,Sat May 14 1977,Rot-Weiss Essen,5-3,2-1,Fortuna Düsseldorf
33,Sat May 14 1977,Bor. Mönchengladbach,5-1,1-0,Karlsruher SC
33,Sat May 14 1977,Hertha BSC,2-1,1-0,Hamburger SV
33,Sat May 14 1977,VfL Bochum,1-2,1-1,FC Schalke 04
33,Sat May 14 1977,Eintracht Frankfurt,2-1,1-1,Bayern München
33,Sat May 14 1977,Werder Bremen,0-0,0-0,Tennis Borussia Berlin
33,Sat May 14 1977,1. FC Kaiserslautern,1-3,1-2,Eintracht Braunschweig
33,Sat May 14 1977,MSV Duisburg,2-3,1-1,1. FC Saarbrücken
34,Sat May 21 1977,Hamburger SV,5-1,2-0,VfL Bochum
34,Sat May 21 1977,Karlsruher SC,2-1,1-0,MSV Duisburg
34,Sat May 21 1977,Bayern München,2-2,1-2,Bor. Mönchengladbach
34,Sat May 21 1977,Tennis Borussia Berlin,4-2,1-0,1. FC Kaiserslautern
34,Sat May 21 1977,1. FC Köln,3-0,2-0,Werder Bremen
34,Sat May 21 1977,FC Schalke 04,4-2,2-0,Borussia Dortmund
34,Sat May 21 1977,Eintracht Braunschweig,6-0,1-0,Rot-Weiss Essen
34,Sat May 21 1977,1. FC Saarbrücken,1-1,1-1,Hertha BSC
34,Sat May 21 1977,Fortuna Düsseldorf,1-2,0-1,Eintracht Frankfurt
